a	(ā) 
acquisitive	(ə-kwĭz'ĭ-tĭv) 
acquit	(ə-kwĭt') 
acquittal	(ə-kwĭt'l) 
acquittance	(ə-kwĭt'ns) 
acre	(ā'kər) 
Acre	(ä'krə, ä'kər) 
acrid	(āk'rĭd) 
acriflavine	(āk'rə-flā'vēn', -vĭn) 
acrimonious	(āk'rə-mō'nē-əs) 
acrobat	(āk'rə-bāt') 
acrocentric	(āk'rō-sěn'trĭk) 
acrocephaly	(āk'rə-sěf'ə-lē) 
acromegaly	(āk'rō-měg'ə-lē) 
acrophobia	(āk'rə-fō'bē-ə) 
acropolis	(ə-krŏp'ə-lĭs) 
across	(ə-krôs', ə-krŏs') 
acrylamide	(ə-krĭl'ə-mīd') 
acrylonitrile	(āk'rə-lō-nī'trəl, -trēl, -trīl) 
act	(ākt) 
ACT	(ā'sē-tē') 
ACTH	(ā'sē'tē'āch') 
actin	(āk'tĭn) 
acting	(āk'tĭng) 
actinium	(āk-tĭn'ē-əm) 
actinolite	(āk-tĭn'ə-līt') 
actinomere	(āk-tĭn'ə-mîr') 
actinometer	(āk'tə-nŏm'ĭ-tər) 
actinomorphic	(āk'tə-nō-môr'fĭk) 
actinomyces	(āk'tə-nō-mī'sēz') 
actinomycete	(āk'tə-nō-mī'sēt') 
actinomycete	(āk'tə-nō-mī'sēt', -mī-sēt') 
actinomycin	(āk'tə-nō-mī'sĭn) 
actinomycosis	(āk'tə-nō-mī-kō'sĭs) 
actinouranium	(āk'tə-nō-yŏŏ-rā'nē-əm) 
action	(āk'shən) 
Actium	(āk'shē-əm, -tē-) 
activate	(āk'tə-vāt') 
active	(āk'tĭv) 
actomyosin	(āk'tə-mī'ə-sĭn) 
actor	(āk'tər) 
Acts of the Apostles	(ākts) 
actual	(āk'chōō-əl) 
actuality	(āk'chōō-āl'ĭ-tē) 
actualize	(āk'chōō-ə-līz') 
actuate	(āk'chōō-āt') 
acuity	(ə-kyōō'ĭ-tē) 
acumen	(āk'yə-mən, ə-kyōō'-) 
acuminate	(ə-kyōō'mə-nĭt, -nāt') 
acupressure	(āk'yə-prěsh'ər) 
acupuncture	(āk'yŏŏ-pŭngk'chər) 
acupuncture	(āk'y-pŭngk'chər) 
acute	(ə-kyōōt') 
acute	(ə-kyt') 
