a	(ā) 
acerb	(ə-sûrb') 
acerbic	(ə-sûr'bĭk) 
acerbity	(ə-sûr'bĭ-tē) 
acerola	(ās'ə-rō'lə) 
acervulus	(ə-sûr'vyə-ləs) 
acetabulum	(ās'ĭ-tāb'yə-ləm) 
acetal	(ās'ĭ-tāl') 
acetaldehyde	(ās'ĭ-tāl'də-hīd') 
acetamide	(ə-sět'ə-mīd', ās'ĭt-ām'īd') 
acetaminophen	(ə-sē'tə-mĭn'ə-fən, ās'ə-) 
acetanilide	(ās'ĭt-ān'l-īd') 
acetate	(ās'ĭ-tāt') 
acetify	(ə-sē'tə-fī', ə-sět'ə-) 
acetone	(ās'ĭ-tōn') 
acetophenetidin	(ās'ĭ-tō-fə-nět'ĭ-dĭn, ə-sē'tō-) 
acetum	(ə-sē'təm) 
acetylate	(ə-sět'l-āt') 
acetylcholine	(ə-sēt'l-kō'lēn') 
acetylcholinesterase	(ə-sēt'l-kō'lə-něs'tə-rās', -rāz') 
acetylene	(ə-sět'l-ēn', -ən) 
acetyl	(ə-sēt'l, ās'ĭ-tl) 
Achaean	(ə-kē'ən) 
Achaemenid	(ə-kē'mə-nĭd, -kěm'ə-) 
achalasia	(āk'ə-lā'zhə) 
ache	(āk) 
Acheron	(āk'ə-rŏn', -rən) 
achieve	(ə-chēv') 
achievement	(ə-chēv'mənt) 
achillea	(āk'ə-lē'ə, ə-kĭl'ē-ə) 
Achilles	(ə-kĭl'ēz) 
aching	(ā'kĭng) 
achiote	(ä'chē-ō'tē, -tě) 
achira	(ə-chîr'ə) 
achlorhydria	(ā'klôr-hī'drē-ə, ā'klōr-) 
acholia	(ā-kō'lē-ə) 
Achomawi	(ə-chō'mə-wē') 
achondrite	(ā-kŏn'drīt') 
achondroplasia	(ā-kŏn'drō-plā'zhə, -zhē-ə) 
achromatic	(āk'rə-māt'ĭk) 
achromatin	(ā-krō'mə-tĭn) 
achromatize	(ā-krō'mə-tīz') 
achy	(ā'kē) 
acicula	(ə-sĭk'yə-lə) 
acidanthera	(ās'ĭ-dān'thər-ə) 
acid	(ās'ĭd) 
acidemia	(ās'ĭ-dē'mē-ə) 
acidhead	(ās'ĭd-hěd') 
acidify	(ə-sĭd'ə-fī') 
acidimeter	(ās'ĭ-dĭm'ĭ-tər) 
acidity	(ə-sĭd'ĭ-tē) 
acidophilic	(ās'ĭ-dō-fĭl'ĭk) 
acidosis	(ās'ĭ-dō'sĭs) 
acidulate	(ə-sĭj'ə-lāt') 
aciduria	(ās'ĭ-dŏŏr'ē-ə, -dyŏŏr'-) 
acinus	(ās'ə-nəs) 
ackee	(āk'ē, ə-kē') 
acknowledge	(āk-nŏl'ĭj) 
acknowledgement	(āk-nŏl'ĭj-mənt)
acknowledgment	(āk-nŏl'ĭj-mənt)
acme	(āk'mē) 
acne	(āk'nē) 
acoelomate	(ə-sē'lə-māt') 
acolyte	(āk'ə-līt') 
Aconcagua	(āk'ən-kä'gwə, ä'kən-) 
aconite	(āk'ə-nīt') 
acorn	(ā'kôrn', ā'kərn) 
acoustic	(ə-kōō'stĭk) 
acoustician	(āk'ōō-stĭsh'ən) 
acquaintance	(ə-kwān'təns) 
acquaint	(ə-kwānt') 
acquiesce	(āk'wē-ěs') 
acquiescence	(āk'wē-ěs'əns) 
acquire	(ə-kwīr') 
acquirement	(ə-kwīr'mənt) 
acquisition	(āk'wĭ-zĭsh'ən) 
acquisitive	(ə-kwĭz'ĭ-tĭv) 
acquit	(ə-kwĭt') 
acquittal	(ə-kwĭt'l) 
acquittance	(ə-kwĭt'ns) 
acreage	(ā'kər-ĭj, ā'krĭj) 
acre	(ā'kər) 
Acre	(ä'krə, ä'kər) 
acrid	(āk'rĭd) 
acridine	(āk'rĭ-dēn') 
acriflavine	(āk'rə-flā'vēn', -vĭn) 
acrimonious	(āk'rə-mō'nē-əs) 
acrimony	(āk'rə-mō'nē) 
acrobat	(āk'rə-bāt') 
acrocentric	(āk'rō-sěn'trĭk) 
acrocephaly	(āk'rə-sěf'ə-lē) 
acrodont	(āk'rə-dŏnt') 
acrolect	(āk'rə-lěkt') 
acrolein	(ə-krō'lē-ĭn) 
acromegaly	(āk'rō-měg'ə-lē) 
acromion	(ə-krō'mē-ən) 
acronym	(āk'rə-nĭm') 
acrophobia	(āk'rə-fō'bē-ə) 
acropolis	(ə-krŏp'ə-lĭs) 
acrosome	(āk'rə-sōm') 
across	(ə-krôs', ə-krŏs') 
acrostic	(ə-krô'stĭk, ə-krŏs'tĭk) 
acrylamide	(ə-krĭl'ə-mīd') 
acrylate resin	(āk'rə-lāt') 
acrylic	(ə-krĭl'ĭk) 
acrylonitrile	(āk'rə-lō-nī'trəl, -trēl, -trīl) 
Actaeon	(āk-tē'ən) 
act	(ākt) 
ACT	(ā'sē-tē') 
ACTH	(ā'sē'tē'āch') 
actin	(āk'tĭn) 
acting	(āk'tĭng) 
actinia	(āk-tĭn'ē-ə) 
actinide	(āk'tə-nīd') 
actinism	(āk'tə-nĭz'əm) 
actinium	(āk-tĭn'ē-əm) 
