a	(ā) 
heliotrope	(hēl'lē-ə-trōp') 
heliotropism	(hē'lē-ŏt'rə-pĭz'əm) 
heliotype	(hē'lē-ə-tīp') 
heliozoan	(hē'lē-ə-zō'ən) 
helipad	(hěl'ə-pād') 
heliport	(hěl'ə-pôrt', -pōrt') 
helistop	(hěl'ĭ-stŏp') 
helium	(hē'lē-əm) 
helix	(hē'lĭks) 
hellbender	(hěl'běn'dər) 
hellbox	(hěl'bŏks') 
hellcat	(hěl'kāt') 
helldiver	(hěl'dī'vər) 
hellebore	(hěl'ə-bôr', -bōr') 
Hellene	(hěl'ēn') 
Hellenic	(hě-lěn'ĭk) 
Hellenism	(hěl'ə-nĭz'əm) 
Hellenist	(hěl'ə-nĭst) 
Hellenize	(hěl'ə-nīz') 
Hellespont	(hěl'ĭ-spŏnt') 
hellfire	(hěl'fīr') 
hellgrammite	(hěl'grə-mīt') 
hell	(hěl) 
hellhole	(hěl'hōl') 
hellhound	(hěl'hound') 
hellion	(hěl'yən) 
hellish	(hěl'ĭsh) 
hello	(hě-lō', hə-) 
helm	(hělm) 
Helmholtz	(hělm'hōlts') 
helminth	(hěl'mĭnth') 
helminthiasis	(hěl'mĭn-thī'ə-sĭs) 
helminthic	(hěl-mĭn'thĭk) 
helminthology	(hěl'mĭn-thŏl'ə-jē) 
helmsman	(hělmz'mən) 
helo	(hěl'ō) 
helot	(hěl'ət) 
helotism	(hěl'ə-tĭz'əm) 
helotry	(hěl'ə-trē) 
helpful	(hělp'fəl) 
help	(hělp) 
helping	(hěl'pĭng) 
helpless	(hělp'lĭs) 
helpmate	(hělp'māt') 
helpmeet	(hělp'mēt') 
Helsinki	(hěl'sĭng'kē, hěl-sĭng'-) 
helve	(hělv) 
Helvetian	(hěl-vē'shən) 
hemacytometer	(hē'mə-sī-tŏm'ĭ-tər) 
hemagglutinate	(hē'mə-glōōt'n-āt') 
hemagglutinin	(hē'mə-glōōt'n-ĭn) 
hemal	(hē'məl) 
hemangioma	(hĭ-mān'jē-ō'mə) 
hemapheresis	(hē'mə-fěr'ə-sĭs, hěm'ə-) 
hematein	(hē'mə-tē'ĭn, hē'mə-tēn') 
hematic	(hĭ-māt'ĭk) 
hematin	(hē'mə-tĭn) 
hematinic	(hē'mə-tĭn'ĭk) 
hematite	(hē'mə-tīt') 
hematoblast	(hē'mə-tə-blāst', hĭ-māt'ə-) 
hematocrit	(hĭ-māt'ə-krĭt') 
hematogenesis	(hē'mə-tə-jěn'ĭ-sĭs, hĭ-māt'ə-) 
hematology	(hē'mə-tŏl'ə-jē) 
hematolysis	(hē'mə-tŏl'ĭ-sĭs) 
hematoma	(hē'mə-tō'mə) 
hematopoiesis	(hē'mə-tō-poi-ē'sĭs, hĭ-māt'ə-) 
hematoxylin	(hē'mə-tŏk'sə-lĭn) 
hematozoon	(hē'mə-tō-zō'ŏn', hĭ-māt'ə-) 
hematuria	(hě'mə-tŏŏr'ē-ə, -tyŏŏr'-) 
heme	(hēm) 
hemelytron	(hě-měl'ĭ-trŏn') 
hemeralopia	(hěm'ər-ə-lō'pē-ə) 
hemerocallis	(hěm'ər-ə-kāl'ĭs) 
hem	(hěm) 
hemicellulose	(hěm'ĭ-sěl'yə-lōs', -lōz') 
hemic	(hē'mĭk) 
hemichordate	(hěm'ĭ-kôr'dāt', -dĭt) 
hemicycle	(hěm'ĭ-sī'kəl) 
hemidemisemiquaver	(hěm'ē-děm'ē-sěm'ē-kwā'vər) 
hemihydrate	(hěm'ĭ-hī'drāt') 
hemimetabolous	(hěm'ē-mə-tāb'ə-ləs) 
hemimorphite	(hěm'ĭ-môr'fīt') 
Hemingway	(hěm'ĭng-wā') 
hemin	(hē'mĭn) 
hemiparasite	(hěm'ĭ-pār'ə-sīt') 
hemiplegia	(hěm'ĭ-plē'jə) 
hemiplegia	(hěm'ĭ-plē'jə, -jē-ə) 
hemipteran	(hĭ-mĭp'tər-ən) 
hemisphere	(hěm'ĭ-sfîr') 
hemistich	(hěm'ĭ-stĭk') 
hemline	(hěm'līn') 
hemlock	(hěm'lŏk') 
hemochromatosis	(hē'mə-krō'mə-tō'sĭs) 
hemocoel	(hē'mə-sēl') 
hemocyanin	(hē'mō-sī'ə-nĭn) 
hemocyte	(hē'mə-sīt') 
hemodialysis	(hē'mō-dī-āl'ĭ-sĭs) 
hemodynamics	(hē'mə-dī-nām'ĭks) 
hemoflagellate	(hē'mō-flāj'ə-lāt', -lĭt, -flə-jěl'ĭt) 
hemoglobin	(hē'mə-glō'bĭn) 
hemoglobinuria	(hē'mə-glō'bə-nŏŏ'ē-ə, -nyŏŏr'-) 
hemolymph	(hē'mə-lĭmf') 
hemolysin	(hĭ-mŏl'ĭ-sĭn, hē'mə-lī'-) 
hemolysis	(hĭ-mŏl'ĭ-sĭs, hē'mə-lī'sĭs) 
hemolyze	(hē'mə-līz') 
hemophiliac	(hē'mə-fĭl'ē-āk', -fē'lē-) 
hemophilia	(hē'mə-fĭl'ē-ə) 
hemophilia	(hē'mə-fĭl'ē-ə, -fēl'yə) 
hemophilic	(hē'mə-fĭl'ĭk) 
hemopoiesis	(hē'mə-poi-ē'sĭs) 
hemoptysis	(hĭ-mŏp'tĭ-sĭs) 
hemorrhage	(hěm'ər-ĭj) 
hemorrhoidal	(hěm'ə-roid'l) 
hemorrhoidectomy	(hěm'ə-roi-děk'tə-mē) 
hemorrhoid	(hěm'ə-roid') 
hemosiderin	(hē'mō-sĭd'ər-ĭn) 
hemostasis	(hē'mə-stā'sĭs, hē-mŏs'tə-) 
hemostat	(hē'mə-stāt') 
hemostatic	(hē'mə-stāt'ĭk) 
hemp	(hěmp) 
hemstitch	(hěm'stĭch') 
Henan	(hŭ'nän') 
henbane	(hěn'bān') 
hence	(hěns) 
henchman	(hěnch'mən) 
hencoop	(hěn'kōōp') 
hendecasyllabic	(hěn-děk'ə-sĭ-lāb'ĭk) 
hendiadys	(hěn-dī'ə-dĭs) 
hen	(hěn) 
henna	(hěn'ə) 
hennery	(hěn'ə-rē) 
henotheism	(hěn'ə-thē-ĭz'əm) 
henpeck	(hěn'pěk') 
henry	(hěn'rē) 
hent	(hěnt) 
heparin	(hěp'ər-ĭn) 
hepatectomy	(hěp'ə-těk'tə-mē) 
hepatica	(hĭ-pāt'ĭ-kə) 
hepatic	(hĭ-pāt'ĭk) 
hepatitis	(hěp'ə-tī'tĭs) 
hepatocyte	(hěp'ə-tə-sīt', hĭ-pāt'ə-) 
hepatoma	(hěp'ə-tō'mə) 
hepatomegaly	(hěp'ə-tə-měg'ə-lē, hĭ-pāt'ə-) 
hepatotoxicity	(hěp'ə-tō-tŏk-sĭs'ĭ-tē, hĭ-pāt'ō-) 
hepatotoxin	(hěp'ə-tō-tŏk'sĭn, hĭ-pāt'ō-) 
Hephaestus	(hĭ-fěs'təs) 
hep	(hěp) 
heptachlor	(hěp'tə-klôr') 
heptachlor	(hěp'tə-klôr', -klōr') 
heptagon	(hěp'tə-gŏn') 
heptahedron	(hěp'tə-hē'drən) 
heptameter	(hěp-tām'ĭ-tər) 
heptane	(hěp'tān') 
heptarchy	(hěp'tär'kē) 
heptastich	(hěp'tə-stĭk') 
heptathlon	(hěp-tāth'lən, -lŏn') 
Hera	(hîr'ə) 
heraldry	(hěr'əl-drē) 
herbage	(ûr'bĭj, hûr'-) 
herbalist	(ûr'bə-lĭst, hûr'-) 
herbarium	(hûr-bâr'ē-əm, ûr-) 
herbicide	(hûr'bĭ-sīd', ûr'-) 
herbivore	(hûr'bə-vôr', ûr'-) 
herbivore	(hûr'bə-vôr', -vōr', ûr'-) 
herb	(ûrb) 
herb	(ûrb, hûrb) 
Hercegovina	(hěrt'sə-gō'vē-nə, -gō-vē'-, hûrt'-)
Herculaneum	(hûr'kyə-lā'nē-əm) 
Hercules' club	(hûr'kyə-lēz) 
Hercules	(hûr'kyə-lēz') 
herd	(hûrd) 
herdsman	(hûrdz'mən) 
hereabout	(hîr'ə-bout') 
hereafter	(hîr-āf'tər) 
hereditament	(hěr'ĭ-dĭt'ə-mənt) 
hereditarian	(hə-rěd'ĭ-târ'ē-ən) 
hereditarianism	(hə-rěd'ĭ-târ'ē-ə-nĭz'əm) 
hereditary	(hə-rěd'ĭ-těr'ē) 
heredity	(hə-rěd'ĭ-tē) 
Hereford	(hûr'fərd, hěr'ə-fərd) 
here	(hîr) 
Here	(hîr'ē) 
Herero	(hə-râr'ō, hěr'ə-rō') 
heresiarch	(hə-rē'zē-ärk', hěr'ĭ-sē-) 
heretical	(hə-rět'ĭ-kəl) 
heretic	(hěr'ĭ-tĭk) 
her	(hər, ər; hûr when stressed) 
heritable	(hěr'ĭ-tə-bəl) 
heritage	(hěr'ĭ-tĭj) 
heritor	(hěr'ĭ-tər) 
Heriz	(hîr'ēz, -ēs) 
herl	(hûrl) 
hermaphrodism	(hər-māf'rə-dĭz'əm) 
hermaphrodite	(hər-māf'rə-dīt') 
hermaphroditism	(hər-māf'rə-dī-tĭz'əm) 
hermeneutic	(hûr'mə-nōō'tĭk, -nyōō'-) 
hermeneutics	(hûr'mə-nōō'tĭks, -nyōō'-) 
Hermes	(hûr'mēz) 
hermetic	(hər-mět'ĭk) 
herm	(hûrm) 
Hermitage	(ěr'mĭ-täzh') 
hermitage	(hûr'mĭ-tĭj) 
hern	(hûrn) 
hernia	(hûr'nē-ə) 
herniate	(hûr'nē-āt') 
Herod	(hěr'əd) 
Herodotus	(hĭ-rŏd'ə-təs) 
Hero	(hē'rō) 
Hero	(hē'rō, hîr'ō) 
hero	(hîr'ō) 
Hero	(hîr'ō) 
heroic	(hĭ-rō'ĭk) 
heroine	(hěr'ō-ĭn) 
heroinism	(hěr'ō-ĭ-nĭz'əm) 
heroism	(hěr'ō-ĭz'əm) 
heroize	(hîr'ō-īz') 
heron	(hěr'ən) 
Heron	(hē'rŏn') 
heronry	(hěr'ən-rē) 
herpesvirus	(hûr'pēz-vī'rəs) 
herpetology	(hûr'pĭ-tŏl'ə-jē) 
Herrenvolk	(hěr'ən-fōk', -fôlk') 
Herr	(hěr) 
herringbone	(hěr'ĭng-bōn') 
herring	(hěr'ĭng) 
herself	(hûr-sělf') 
herstory	(hûr'stə-rē) 
hertz	(hûrts) 
Hertz	(hûrts, hěrts) 
Herzegovina	(hěrt'sə-gō'vē-nə, -gō-vē'-, hûrt'-)
hesitancy	(hěz'ĭ-tən-sē) 
hesitate	(hěz'ĭ-tāt') 
hesitation	(hěz'ĭ-tā'shən) 
hesperidin	(hě-spěr'ĭ-dĭn) 
hesperidium	(hěs'pə-rĭd'ē-əm) 
Hessian	(hěsh'ən) 
hessonite	(hěs'ə-nīt') 
hest	(hěst) 
Hestia	(hěs'tē-ə) 
hetaera	(hĭ-tîr'ə) 
heteroatom	(hět'ə-rō-āt'əm) 
heterochromatic	(hět'ə-rō-krō-māt'ĭk) 
heterochromatin	(hět'ə-rō-krō'mə-tĭn) 
heterochromosome	(hět'ə-rō-krō'mə-sōm') 
heterocyclic	(hět'ə-rō-sī'klĭk, -sĭk'lĭk) 
heterocyst	(hět'ər-ə-sĭst') 
heterodoxy	(hět'ər-ə-dŏk'sē) 
heterodyne	(hět'ər-ə-dīn') 
heteroecious	(hět'ə-rē'shəs) 
heterogamete	(hět'ə-rō-gām'ēt', -gə-mēt') 
heterogamy	(hět'ə-rŏg'ə-mē) 
heterogeneity	(hět'ə-rō'jə-nē'ĭ-tē) 
heterogeneous	(hět'ər-ə-jē'nē-əs, -jēn'yəs) 
heterogenous	(hět'ə-rŏj'ə-nəs) 
heterogonous	(hět'ə-rŏg'ə-nəs) 
heterograft	(hět'ə-rō-grāft') 
hetero	(hět'ə-rō') 
heterokaryon	(hět'ər-ə-kār'ē-ŏn', -ən) 
heterology	(hět'ə-rŏl'ə-jē) 
heterolysis	(hět'ə-rŏl'ĭ-sĭs, -ə-rō-lī'sĭs) 
heteromorphic	(hět'ə-rō-môr'fĭk) 
heteronym	(hět'ər-ə-nĭm') 
Heteroousian	(hět'ə-rō-ōō'sē-ən, -ou'sē-ən) 
heterophony	(hět'ə-rŏf'ə-nē) 
heterophyllous	(hět'ə-rō-fĭl'əs) 
heterophyte	(hět'ər-ə-fīt') 
heteroplasty	(hět'ər-ə-plās'tē) 
heteroploid	(hět'ər-ə-ploid') 
heterosexism	(hět'ə-rō-sěk'sĭz'əm) 
heterosexual	(hět'ə-rō-sěk'shōō-əl) 
heterosexuality	(hět'ə-rō-sěk'shōō-āl'ĭ-tē) 
heterosis	(hět'ə-rō'sĭs) 
heterosporous	(hět'ər-ə-spôr'əs, -spōr'-, hět'ə-rŏs'pər-əs) 
heterostyled	(hět'ər-ə-stīld') 
heterotaxis	(hět'ə-rō-tāk'sĭs) 
heterothallic	(hět'ə-rō-thāl'ĭk) 
heterotroph	(hět'ər-ə-trŏf') 
heterotroph	(hět'ər-ə-trŏf', -trōf') 
heterozygosis	(hět'ə-rō-zī-gō'sĭs) 
heterozygote	(hět'ə-rō-zī'gōt') 
heterozygous	(hět'ər-ə-zī'gəs) 
heth	(KHět, KHěs) 
heulandite	(hyōō'lən-dīt') 
heuristic	(hyŏŏ-rĭs'tĭk) 
hew	(hyōō) 
hewn	(hyōōn) 
hexachloroethane	(hěk'sə-klôr'ō-ěth'ān', -klōr'-) 
hexachlorophene	(hěk'sə-klôr'ə-fēn', -klōr'-) 
hexachord	(hěk'sə-kôrd') 
hexadecimal	(hěk'sə-děs'ə-məl) 
hexad	(hěk'sād') 
hexagon	(hěk'sə-gŏn') 
hexagram	(hěk'sə-grām') 
hexahedron	(hěk'sə-hē'drən) 
hexamerous	(hěk-sām'ər-əs) 
hexameter	(hěk-sām'ĭ-tər) 
hexamethylenetetramine	(hěk'sə-měth'ə-lēn-tět'rə-mēn') 
hexapod	(hěk'sə-pŏd') 
hexastyle	(hěk'sə-stīl') 
hex	(hěks) 
hexosan	(hěk'sə-sān') 
hexyl	(hěk'səl) 
hexylresorcinol	(hěk'səl-rĭ-zôr'sə-nôl', -nōl', -nŏl') 
Hiawatha	(hī'ə-wŏth'ə, -wô'thə, hē'ə-) 
hibachi	(hĭ-bä'chē) 
hibernaculum	(hī'-bər-nāk'yə-ləm) 
hibernaculum	(hī'bər-nāk'yə-ləm) 
hibernate	(hī'bər-nāt') 
hibernation	(hī'bər-nā'shən) 
Hibernia	(hī-bûr'nē-ə) 
hibiscus	(hī-bĭs'kəs) 
hick	(hĭk) 
hickory	(hĭk'ə-rē) 
hidalgo	(hĭ-dāl'gō, ē-thäl'-) 
Hidatsa	(hē-dät'sä) 
hiddenite	(hĭd'n-īt') 
hideaway	(hīd'ə-wā') 
hide	(hīd) 
hideous	(hĭd'ē-əs) 
hideout	(hīd'out') 
hid	(hĭd) 
hidrosis	(hī-drō'sĭs, hĭ-) 
hie	(hī) 
hierarch	(hī'ə-rärk', hī'rärk') 
hierarchize	(hī'ə-rär-kīz', hī'rär-) 
hierarchy	(hī'ə-rär'kē, hī'rär'-) 
hieratic	(hī'ə-rāt'ĭk, hī-rāt'-) 
hierocracy	(hī'ə-rŏk'rə-sē, hī-rŏk'-) 
hierodule	(hī'ər-ə-dōōl', -dyōōl') 
hieroglyph	(hī'ər-ə-glĭf', hī'rə-) 
hieroglyphic	(hī'ər-ə-glĭf'ĭk, hī'rə-) 
hierology	(hī'ə-rŏl'ə-jē, hī-rŏl'-) 
hierophant	(hī'ər-ə-fānt', hī'rə-, hī-ěr'ə-fənt) 
higgle	(hĭg'əl) 
highball	(hī'bôl') 
highbinder	(hī'bīn'dər) 
highborn	(hī'bôrn') 
highboy	(hī'boi') 
highbrow	(hī'brou') 
highchair	(hī'châr') 
highhanded	(hī'hān'dĭd) 
high	(hī) 
highjack	(hī'jāk') 
highlander	(hī'lən-dər) 
highland	(hī'lənd) 
Highlands	(hī'ləndz) 
high life	(hī'līf')
highlife	(hī'līf')
highlighter	(hī'lī'tər) 
highlight	(hī'līt') 
highness	(hī'nĭs) 
hightail	(hī'tāl') 
hight	(hīt) 
highway	(hī'wā') 
highwayman	(hī'wā'mən) 
hi	(hī) 
hijab	(hĭ-jäb') 
hijinks	(hī'jĭngks') 
hike	(hīk) 
hilarious	(hĭ-lâr'ē-əs, -lār'-, hī-) 
hilarity	(hĭ-lār'ĭ-tē, -lâr'-, hī-) 
hillbilly	(hĭl'bĭl'ē) 
hillcrest	(hĭl'krěst') 
hill	(hĭl) 
hillock	(hĭl'ək) 
hillside	(hĭl'sīd') 
hilltop	(hĭl'tŏp') 
hilly	(hĭl'ē) 
hilt	(hĭlt) 
hilum	(hī'ləm) 
Himalaya Mountains	(hĭm'ə-lā'ə, hĭ-mäl'yə) 
himation	(hĭ-māt'ē-ŏn') 
him	(hĭm) 
himself	(hĭm-sělf') 
Himyarite	(hĭm'yə-rīt') 
Hinayana	(hē'nə-yä'nə) 
hindbrain	(hīnd'brān') 
hinder	(hĭn'dər) 
hindgut	(hīnd'gŭt') 
hind	(hīnd) 
hindmost	(hīnd'mōst') 
Hindoo	(hĭn'dōō) 
Hindooism	(hĭn'dōō-ĭz'əm) 
hindquarter	(hīnd'kwôr'tər) 
hindrance	(hĭn'drəns) 
hindsight	(hīnd'sīt') 
Hindu	(hĭn'dōō) 
Hinduism	(hĭn'dōō-ĭz'əm) 
Hindustan	(hĭn'dŏŏ-stän', -stān') 
Hindustani	(hĭn'dŏŏ-stä'nē, -stān'ē) 
hinge	(hĭnj) 
hin	(hĭn) 
hinny	(hĭn'ē) 
hinterland	(hĭn'tər-lānd') 
hint	(hĭnt) 
hipbone	(hĭp'bōn') 
hip	(hĭp) 
hippocampus	(hĭp'ə-kām'pəs) 
hippocras	(hĭp'ə-krās') 
Hippocrates	(hĭ-pŏk'rə-tēz') 
hippodrome	(hĭp'ə-drōm') 
hippo	(hĭp'ō) 
Hippo	(hĭp'ō) 
hippopotamus	(hĭp'ə-pŏt'ə-məs) 
hippy	(hĭp'ē) 
hipster	(hĭp'stər) 
hipsterism	(hĭp'stə-rĭz'əm) 
hiragana	(hîr'ə-gä'nə) 
hircine	(hûr'sīn', -sĭn) 
hire	(hīr) 
hireling	(hīr'lĭng) 
Hiroshima	(hîr'ə-shē'mə, hĭ-rō'shə-mə) 
hirsute	(hûr'sōōt', hîr'-, hər-sōōt') 
hirsutism	(hûr'sōō-tĭz'əm, hîr'-, hər-sōō'-) 
hirudin	(hîr-ōōd'n, hîr'ə-dən, -yə-) 
his	(hĭz) 
Hispanic	(hĭ-spān'ĭk) 
Hispanicize	(hĭ-spān'ĭ-sīz') 
Hispaniola	(hĭs'pən-yō'lə) 
Hispanism	(hĭs'pə-nĭz'əm) 
Hispanist	(hĭs'pə-nĭst) 
Hispano	(hĭ-spān'ō, -spä'nō) 
hispid	(hĭs'pĭd) 
hiss	(hĭs) 
Hiss	(hĭs) 
hissy	(hĭs'ē) 
histaminase	(hĭ-stām'ə-nās', -nāz', hĭs'tə-mə-) 
histamine	(hĭs'tə-mēn') 
histamine	(hĭs'tə-mēn', -mĭn) 
histidine	(hĭs'tĭ-dēn') 
histidine	(hĭs'tĭ-dēn', -dĭn) 
histiocyte	(hĭs'tē-ə-sīt') 
histiocytosis	(hĭs'tē-ō'sī-tō'sĭs) 
histochemistry	(hĭs'tō-kěm'ĭ-strē) 
histocompatibility	(hĭs'tō-kəm-pāt'ə-bĭl'ĭ-tē) 
histodialysis	(hĭs'tō-dī-āl'ĭ-sĭs) 
histogenesis	(hĭs'tō-jěn'ĭ-sĭs) 
histogram	(hĭs'tə-grām') 
histology	(hĭ-stŏl'ə-jē) 
histolysis	(hĭ-stŏl'ĭ-sĭs) 
histone	(hĭs'tōn') 
histopathology	(hĭs'tō-pə-thŏl'ə-jē, -pā-) 
histophysiology	(hĭs'tō-fĭz'ē-ŏl'ə-jē) 
histoplasmosis	(hĭs'tō-plāz-mō'sĭs) 
historian	(hĭ-stôr'ē-ən, -stōr'-, -stŏr'-) 
historical	(hĭ-stôr'ĭ-kəl, -stŏr'-) 
historicism	(hĭ-stôr'ĭ-sĭz'əm, -stŏr'-) 
historicity	(hĭs'tə-rĭs'ĭ-tē) 
historicize	(hĭ-stôr'ĭ-sīz', -stŏr'-) 
historiographer	(hĭ-stôr'ē-ŏg'rə-fər, -stōr'-) 
historiography	(hĭ-stôr'ē-ŏg'rə-fē, -stōr'-) 
history	(hĭs'tə-rē) 
histrionic	(hĭs'trē-ŏn'ĭk) 
hitch	(hĭch) 
hitchhike	(hĭch'hīk') 
hitherward	(hĭth'ər-wərd) 
hit	(hĭt) 
Hitler	(hĭt'lər) 
Hitlerism	(hĭt'lə-rĭz'əm) 
Hittite	(hĭt'īt') 
HIV	(āch'ī-vē') 
hive	(hīv) 
hives	(hīvz) 
HMO	(āch'ěm-ō') 
Hmong	(hmông) 
hoard	(hôrd, hōrd) 
hoarding	(hôr'dĭng, hōr'-) 
hoarfrost	(hôr'frôst') 
hoarfrost	(hôr'frôst', -frŏst', hōr'-) 
hoar	(hôr, hōr) 
hoarse	(hôrs, hōrs) 
hoarsen	(hôr'sən, hōr'-) 
hoary	(hôr'ē, hōr'ē) 
hoax	(hōks) 
Hobart	(hō'bärt') 
Hobbes	(hŏbz) 
Hobbism	(hŏb'ĭz'əm) 
hobblebush	(hŏb'əl-bŏŏsh') 
hobbledehoy	(hŏb'əl-dē-hoi') 
hobble	(hŏb'əl) 
hobby	(hŏb'ē) 
Hobby	(hŏb'ē) 
hobbyhorse	(hŏb'ē-hôrs') 
hobgoblin	(hŏb'gŏb'lĭn) 
hob	(hŏb) 
hobnail	(hŏb'nāl') 
hobnob	(hŏb'nŏb') 
hobo	(hō'bō) 
hock	(hŏk) 
hockshop	(hŏk'shŏp') 
hocus	(hō'kəs) 
hodgepodge	(hŏj'pŏj') 
hod	(hŏd) 
hoecake	(hō'kāk') 
hoedown	(hō'doun') 
hoe	(hō) 
hogan	(hō'gän', -gən) 
Hogan	(hō'gən) 
hogback	(hôg'bāk', hŏg'-) 
hogfish	(hôg'fĭsh', hŏg'-) 
hogg	(hôg, hŏg) 
hoggish	(hô'gĭsh, hŏg'ĭsh) 
hog	(hôg, hŏg) 
Hogmanay	(hŏg'mə-nā', hŏg'mə-nā') 
hogshead	(hôgz'hěd', hŏgz'-) 
hogwash	(hôg'wôsh', -wŏsh, hŏg'-) 
hogweed	(hôg'wēd', hŏg'-) 
Hohenstaufen	(hō'ən-shtou'fən) 
Hohenzollern	(hō'ən-zŏl'ərn, -tsôl'-) 
ho	(hō) 
hoist	(hoist) 
Hokan	(hō'kən) 
hoke	(hōk) 
hokey	(hō'kē) 
Hokkaido	(hŏ-kī'dō, hô'kī-dō') 
hokku	(hō'kōō) 
hokum	(hō'kəm) 
holdall	(hōld'ôl') 
holdback	(hōld'bāk') 
holdfast	(hōld'fāst') 
hold	(hōld) 
holding	(hōl'dĭng) 
holdout	(hōld'out') 
holdover	(hōld'ō'vər) 
hole	(hōl) 
holey	(hō'lē) 
holiday	(hŏl'ĭ-dā') 
Holiday	(hŏl'ĭ-dā') 
holidaymaker	(hŏl'ĭ-dā-mā'kər) 
holiness	(hō'lē-nĭs) 
holland	(hŏl'ənd) 
Holland	(hŏl'ənd) 
holloware	(hŏl'ō-wâr')
hollow	(hŏl'ō) 
hollowware	(hŏl'ō-wâr')
hollyhock	(hŏl'ē-hŏk') 
holly	(hŏl'ē) 
Holly	(hŏl'ē) 
Hollywood	(hŏl'ē-wŏŏd') 
Holmes	(hōmz, hōlmz) 
holm	(hōm, hōlm) 
holmium	(hōl'mē-əm) 
holocaust	(hŏl'ə-kôst', hō'lə-) 
Holocene	(hŏl'ə-sēn', hō'lə-) 
Holocene	(hŏl'ə-sēn', hō'lə-sēn') 
holoenzyme	(hŏl'ō-ěn'zīm', hō'lō-) 
hologram	(hŏl'ə-grām', hō'lə-) 
holograph	(hŏl'ə-grāf', hō'lə-) 
holographic	(hŏl'ə-grāf'ĭk, hō'lə-) 
holography	(hə-lŏg'rə-fē) 
holography	(hō-lŏg'rə-fē) 
holometabolism	(hŏl'ō-mə-tāb'ə-lĭz'əm, hō'lō-) 
holophyte	(hŏl'ə-fīt') 
holoplankton	(hŏl'ə-plāngk'tən, hō'lə-) 
holothurian	(hŏl'ə-thŏŏr'ē-ən, -thyŏŏr'-, hō'lə-) 
holothurian	(hŏl'ə-thr'ē-ən, hō'lə-) 
holotype	(hŏl'ə-tīp', hō'lə-) 
Holstein	(hōl'stīn', -stēn') 
holster	(hōl'stər) 
holt	(hōlt) 
holy	(hō'lē) 
holystone	(hō'lē-stōn') 
homager	(hŏm'ə-jər, ŏm'-) 
homebody	(hōm'bŏd'ē) 
homebound	(hōm'bound') 
homeboy	(hōm'boi') 
homebred	(hōm'brěd') 
home brew	(hōm'brōō')
homebrew	(hōm'brōō')
homebuilder	(hōm'bĭl'dər) 
homebuyer	(hōm'bī'ər) 
homecoming	(hōm'kŭm'ĭng) 
homegirl	(hōm'gûrl') 
home	(hōm) 
homeland	(hōm'lānd') 
homeless	(hōm'lĭs) 
homely	(hōm'lē) 
homemaker	(hōm'mā'kər) 
homeobox	(hō'mē-ə-bŏks') 
homeomorphism	(hō'mē-ə-môr'fĭz'əm) 
homeopathy	(hō'mē-ŏp'ə-thē) 
homeostasis	(hō'mē-ō-stā'sĭs) 
homeotherm	(hō'mē-ə-thûrm') 
homeowner	(hōm'ō'nər) 
home page	(hōm'pāj')
homepage	(hōm'pāj')
homer	(hō'mər) 
Homer	(hō'mər) 
homeroom	(hōm'rōōm', -rŏŏm') 
home-school	(hōm'skōōl')
homeschool	(hōm'skōōl')
homesick	(hōm'sĭk') 
homespun	(hōm'spŭn') 
homestead	(hōm'stěd') 
homestretch	(hōm'strěch') 
hometown	(hōm'toun') 
homeward	(hōm'wərd) 
homework	(hōm'wûrk') 
homey	(hō'mē) 
homicide	(hŏm'ĭ-sīd', hō'mĭ-) 
homiletic	(hŏm'ə-lět'ĭk) 
homily	(hŏm'ə-lē) 
hominid	(hŏm'ə-nĭd) 
hominization	(hŏm'ə-nĭ-zā'shən) 
hominoid	(hŏm'ə-noid') 
hommos	(hŏŏm'əs, hŭm'-)
homochromatic	(hō'mə-krō-māt'ĭk, hŏm'ə-) 
homoeroticism	(hō'mō-ĭ-rŏt'ĭ-sĭz'əm) 
homogenate	(hə-mŏj'ə-nāt', -nĭt, hō-) 
homogeneity	(hō'mə-jə-nē'ĭ-tē, -nā'-, hŏm'ə-) 
homogeneous	(hō'mə-jē'nē-əs, -jēn'yəs) 
homogenize	(hə-mŏj'ə-nīz', hō-) 
homogeny	(hə-mŏj'ə-nē, hō-) 
homograft	(hō'mə-grāft', hŏm'ə-) 
homograph	(hŏm'ə-grāf', hō'mə-) 
homo	(hō'mō) 
homoiotherm	(hō-moi'ə-thûrm') 
Homoiousian	(hō'moi-ōō'sē-ən, -zē-) 
homologate	(hə-mŏl'ə-gāt', hō-) 
homolog	(hŏm'ə-lôg', hō'mə-)
homolog	(hŏm'ə-lôg', -lŏg', hō'mə-) 
homologize	(hə-mŏl'ə-jīz', hō-) 
homologue	(hŏm'ə-lôg', hō'mə-)
homology	(hə-mŏl'ə-jē) 
homology	(hə-mŏl'ə-jē, hō-) 
homomorphism	(hō'mə-môr'fĭz'əm, hŏm'ə-) 
homonym	(hŏm'ə-nĭm', hō'mə-) 
homonymy	(hō-mŏn'ə-mē, hə-) 
Homoousian	(hō'mō-ōō'sē-ən, -zē-) 
homophile	(hō'mə-fīl') 
homophobia	(hō'mə-fō'bē-ə) 
homophone	(hŏm'ə-fōn', hō'mə-) 
homophony	(hō-mŏf'ə-nē) 
homoplasy	(hō'mə-plā'sē, -plās'ē, hŏm'ə-) 
homopteran	(hə-mŏp'tər-ən) 
homopteran	(hō-mŏp'tər-ən) 
